auction max stop today
41.03 11.56 12.69 11.50
-- -- -- --
-- -- -- --
-- -- -- --
10.76 38.38 40.87 37.00
89.04 4.34 4.73 4.26
280.58 3.18 3.18 2.89
48.01 3.86 4.27 3.83
22.45 93.51 104.09 93.04
23.82 12.16 13.37 12.07
176.62 10.74 11.45 10.19
3.59 9.35 10.08 9.16
73.43 3.14 3.26 2.93
8.28 5.37 5.93 5.36
51.32 3.85 4.09 3.69
9.85 3.46 3.80 3.45
4.56 10.85 11.85 10.57
14.07 9.96 10.71 9.79
70.64 5.20 5.80 5.20
119.99 4.31 4.89 4.26
18.39 6.58 7.26 6.58
23.72 14.17 15.53 14.00
42.98 44.65 47.54 43.31
19.78 3.76 4.09 3.70
4.64 15.97 17.41 15.79
18.12 34.36 37.19 33.50
12.22 6.02 6.59 5.93
15.07 8.07 8.99 8.07
-- -- -- --
8.62 11.46 12.35 11.11
9236手 43.23 47.29 42.99
51.09 7.90 7.90 7.15
24.91 2.76 3.01 2.75
56.24 16.20 17.35 15.45
22.37 10.96 11.46 10.30
23.98 10.32 11.40 10.30
1.69 13.65 15.06 13.65
7.68 49.24 53.24 48.46
21.31 3.98 4.37 3.94
29.36 10.97 12.00 10.96
12.07 5.78 6.36 5.75
66.70 14.72 16.47 14.60
1.83 12.12 13.16 12.00
67.91 8.09 8.97 8.08
-- -- -- --
3.53 4.98 5.11 4.86
55.21 5.43 5.43 4.94
10.57 4.21 4.21 4.01
21.32 5.25 5.73 5.18
2.33 49.15 51.69 46.70
29.64 9.37 9.37 8.58
215.00 8.87 9.57 8.87
2.92 14.45 15.10 13.63
5.73 6.38 6.92 6.29
7.27 5.92 6.52 5.90
14.19 10.37 11.04 9.99
20.94 11.49 13.06 11.40
11.27 8.80 9.67 8.75
62.57 17.37 18.37 16.48
21.12 10.00 10.80 10.00
22.65 10.84 11.78 10.65
150.45 14.42 15.97 14.00
-- -- -- --
11.45 6.80 7.40 6.68
-- -- -- --
4.79 8.07 8.78 7.98
1.51 13.77 15.15 13.53
9.95 9.84 10.84 9.79
-- -- -- --
-- -- -- --
13.13 10.47 11.56 10.43
7.43 3.24 3.37 3.15
83.15 7.26 8.04 7.23
10.28 15.63 17.32 15.54
20.75 12.65 13.95 12.57
9.06 11.16 12.25 11.13
7.81 16.76 18.05 16.36
17.26 17.90 19.69 17.61
7.24 12.40 13.66 12.40
13.55 5.77 6.33 5.77
23.34 12.55 13.51 12.36
4.29 6.81 7.44 6.70
9.77 22.88 24.73 22.48
-- -- -- --
9984手 16.81 18.60 16.80
52.44 25.49 26.48 23.53
13.94 8.33 9.19 8.33
10.97 13.45 14.41 13.00
22.53 5.18 5.63 5.16
31.77 4.69 5.15 4.67
39.94 2.84 3.01 2.73
13.47 2.50 2.61 2.49
12.24 10.35 11.32 10.26
-- -- 4.94 --
15.00 5.78 6.34 5.76
8.11 6.87 7.38 6.66
-- -- -- --
57.32 27.88 28.01 25.23
1.16 23.60 25.53 23.21
17.67 5.86 6.33 5.75
